Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
475281,Shardul Narendra Thakur,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
31107,Amit Mishra,Right hand Bat,Legbreak,Bowler,Tail,Tail,Tail,Spin
26875,Bishan Singh Bedi,Right hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,,Spin
29260,Hanumant Singh,Right hand Bat,Legbreak,,Middle Order,,,Spin
30912,Ashok Omprakash Malhotra,Right hand Bat,Right arm Medium,Middle order Batter,Middle Order,Middle Order,,Right-arm Pacer
26226,Surinder Amarnath Bhardwaj,Left hand Bat,Right arm Medium,,Top Order,Top Order,,Right-arm Pacer
27225,Sanjay Bapusaheb Bangar,Right hand Bat,Right arm Medium fast,,Openers,Middle Order,,Right-arm Pacer
31061,Syed Mushtaq Ali,Right hand Bat,Slow Left arm Orthodox,,Openers,,,Spin
723105,Rinku Khanchand Singh,Left hand Bat,Right arm Offbreak,Middle order Batter,,Middle Order,Middle Order,Spin
714451,Shivam Dube,Left hand Bat,Right arm Medium,Allrounder,,Tail,Middle Order,Right-arm Pacer
376116,Umeshkumar Tilak Yadav,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
26269,Madhavrao Laxmanrao Apte,Right hand Bat,Right arm Bowler,,Openers,,,Unknown
1070183,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,,,Openers,Spin
1070168,Prithvi Pankaj Shaw,Right hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,Openers,Spin
497121,Deepak Jagbir Hooda,Right hand Bat,Right arm Offbreak,Allrounder,,Middle Order,Middle Order,Spin
33943,Ajay Kumar Sharma,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,Middle Order,Middle Order,,Spin
32179,Chandrakant Sitaram Pandit,Right hand Bat,,Wicketkeeper Batter,Middle Order,Tail,,Unknown
27223,Stuart Terence Roger Binny,Right hand Bat,Right arm Medium,Allrounder,Middle Order,Middle Order,Middle Order,Right-arm Pacer
559235,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,Bowler,Tail,Tail,Tail,Spin
30732,Praveenkumar Sakat Singh,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
27639,Aakash Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Openers,,,All-rounder (Pace & Spin)
625383,Jasprit Jasbirsingh Bumrah,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
26817,Abbas Ali Baig,Right hand Bat,Legbreak,,Top Order,,,Spin
32345,Bapu Krishnarao Venkatesh Prasad,Right hand Bat,Right arm Medium fast,Bowler,Tail,Tail,,Right-arm Pacer
30132,Amritsar Govindsingh Kripal Singh,Right hand Bat,Right arm Offbreak,,Middle Order,,,Spin
398439,Karun Nair,Right hand Bat,Right arm Offbreak,Top order Batter,Middle Order,Openers,,Spin
28045,Ramakant Bhikaji Desai,Right hand Bat,Right arm Fast medium,Bowler,Tail,,,Right-arm Pacer
30018,Hrishikesh Hemant Kanitkar,Left hand Bat,Right arm Offbreak,Top order Batter,Middle Order,Middle Order,,Spin
26325,Kirtivardhan Bhagwat Jha Azad,Right hand Bat,Right arm Offbreak,Allrounder,Middle Order,Middle Order,,Spin
36064,Nandlal Shivlal Yadav,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
28090,Sameer Sudhakar Dighe,Right hand Bat,,Wicketkeeper Batter,Middle Order,Middle Order,,Unknown
28146,Deep Biplab Dasgupta,Right hand Bat,,,Openers,Middle Order,,Unknown
